id,text,stat_type,decay,min,max
cold,"Requires a cool environment to thrive.",temperature,0,0,20
hot,"Requires a warm environment to thrive.",temperature,0,80,100
light,"Requires a lot of sunlight to grow.",sunlight,0,80,100
darkness,"Thrives in low light conditions.",sunlight,0,0,20
needy,"Requires care and affecton to grow properly.",affection,0,80,100
no_touch,"Hates being touched or handled.",affection,0,0,20
water,"Requires a lot of water to grow.",water,0,80,100
no_water,"Is allergic to water",water,0,0,20
blood,"Requires blood to grow.",blood,0,80,100
slime,"Requires proper lubrification to grow.",slime,0,80,100
bugs,"Feeds on little critters and bugs.",bugs,0,80,100
frail,"Cannot handle pesky pests or bugs.",bugs,0,0,20
pearl_fruits,"Produces beautiful pearl-like fruits.",,0,0,0
smile_death,"When happy, it has a smile to die for.",,0,0,0
stare,"Stares into your sould when satisfied.",,0,0,0
thorn_poison,"Its thorns produce poison.",,0,0,0
theethy,"Its leaves have a sharp, tooth-like texture.",,0,0,0
worms,"These worms leave above the ground.",,0,0,0
curls,"Curls into itself.",,0,0,0
yellow_bulbs,"Its stem produces yellow bulbs.",,0,0,0
open_mouth,"Lures prey to its open mouth.",,0,0,0
roots_above,"Its roots grow above the ground.",,0,0,0
