nice_name,name,facts 
prettyeye,Pretty Eyes,"light,no_touch,stare"
rose,Rose,"blood,light,needy"
slime,Slime,"slime,light,hot"
star,Star,"darkness,slime,yellow_bulbs"
thorny,Thorny,"no_touch,thorn_poison,curls"
happysad,Happy/Sad,"light,water,bugs"
handsy,Handsy,"cold,no_water,pearl_fruits"
teeth,Teeth,"water,needy,theethy"
iris,Iris,"darkness,no_water,cold"
worms,Worms,"bugs,darkness,worms"
bigandred,Big and Red,"water,bugs,open_mouth"
roots,Roots,"cold,slime,roots_above"
burak,Burak,"light,hot,no_touch"
funnystick,Funny Stick,"eye_bulbs,red_leaves,cold"
lips,Lips,"needy,blood,hot"
spidey,Spidey,"bugs,darkness,no_touch"
